original,sanitized
[4E Energeiaki 176 KWp Likovouni] PCC Total Production reactive power (kVAr),p_4e_ener_liko__176kwp__pcc_tota_prod_reac_powe__u_kvar
[4E Energeiaki 176 KWp Likovouni] Weather Station 1 Ambient temperature (C),p_4e_ener_liko__176kwp__weat_stat_1_ambi_temp__u_c
[4E Energeiaki 176 KWp Likovouni] Weather Station 1 Relative humidity (%),p_4e_ener_liko__176kwp__weat_stat_1_rela_humi__u_pct
[4E Energeiaki 176 KWp Likovouni] Weather Station 1 Wind speed (m*s^-1),p_4e_ener_liko__176kwp__weat_stat_1_wind_spee__u_m_s_1
[4E Energeiaki 4472 KWp Lexaina] 4E Energeiaki 4472 KWp Lexaina Average Irradiance (W*m^-2),p_4e_ener_lexa__4472kwp__aver_irra__u_w_m_2
[4E Energeiaki 4472 KWp Lexaina] PCC PCC active energy export (kWh),p_4e_ener_lexa__4472kwp__pcc_acti_ener_expo__u_kwh
[4E Energeiaki 4472 KWp Lexaina] PCC PCC active energy import (kWh),p_4e_ener_lexa__4472kwp__pcc_acti_ener_impo__u_kwh
[4E Energeiaki 4472 KWp Lexaina] PCC PCC apparent energy (kVAh),p_4e_ener_lexa__4472kwp__pcc_appa_ener__u_kvah
[4E Energeiaki 4472 KWp Lexaina] PCC PCC average current (A),p_4e_ener_lexa__4472kwp__pcc_aver_curr__u_a
[4E Energeiaki 4472 KWp Lexaina] PCC PCC average line voltage (Vac),p_4e_ener_lexa__4472kwp__pcc_aver_line_volt__u_vac
[4E Energeiaki 4472 KWp Lexaina] PCC PCC average phase voltage (Vac),p_4e_ener_lexa__4472kwp__pcc_aver_phas_volt__u_vac
[4E Energeiaki 4472 KWp Lexaina] PCC PCC current of phase L1 (A),p_4e_ener_lexa__4472kwp__pcc_curr_of_phas_l1__u_a
[4E Energeiaki 4472 KWp Lexaina] PCC PCC current of phase L2 (A),p_4e_ener_lexa__4472kwp__pcc_curr_of_phas_l2__u_a
[4E Energeiaki 4472 KWp Lexaina] PCC PCC current of phase L3 (A),p_4e_ener_lexa__4472kwp__pcc_curr_of_phas_l3__u_a
[4E Energeiaki 4472 KWp Lexaina] PCC PCC frequency (Hz),p_4e_ener_lexa__4472kwp__pcc_freq__u_hz
[4E Energeiaki 4472 KWp Lexaina] PCC PCC power factor of phase L1 (-),p_4e_ener_lexa__4472kwp__pcc_powe_fact_of_phas_l1__u_num
[4E Energeiaki 4472 KWp Lexaina] PCC PCC power factor of phase L2 (-),p_4e_ener_lexa__4472kwp__pcc_powe_fact_of_phas_l2__u_num
[4E Energeiaki 4472 KWp Lexaina] PCC PCC power factor of phase L3 (-),p_4e_ener_lexa__4472kwp__pcc_powe_fact_of_phas_l3__u_num
[4E Energeiaki 4472 KWp Lexaina] PCC PCC reactive energy export (kVArh),p_4e_ener_lexa__4472kwp__pcc_reac_ener_expo__u_kvarh
[4E Energeiaki 4472 KWp Lexaina] PCC PCC reactive energy import (kVArh),p_4e_ener_lexa__4472kwp__pcc_reac_ener_impo__u_kvarh
[4E Energeiaki 4472 KWp Lexaina] PCC PCC total power factor (-),p_4e_ener_lexa__4472kwp__pcc_tota_powe_fact__u_num
[4E Energeiaki 4472 KWp Lexaina] PCC PCC voltage of L1-L2 (Vac),p_4e_ener_lexa__4472kwp__pcc_volt_of_l1_l2__u_vac
[4E Energeiaki 4472 KWp Lexaina] PCC PCC voltage of L2-L3 (Vac),p_4e_ener_lexa__4472kwp__pcc_volt_of_l2_l3__u_vac
[4E Energeiaki 4472 KWp Lexaina] PCC PCC voltage of L3-L1 (Vac),p_4e_ener_lexa__4472kwp__pcc_volt_of_l3_l1__u_vac
[4E Energeiaki 4472 KWp Lexaina] PCC Production active energy export (kWh),p_4e_ener_lexa__4472kwp__pcc_prod_acti_ener_expo__u_kwh
[4E Energeiaki 4472 KWp Lexaina] PCC Production active energy import (kWh),p_4e_ener_lexa__4472kwp__pcc_prod_acti_ener_impo__u_kwh
[4E Energeiaki 4472 KWp Lexaina] PCC Production apparent energy (kVAh),p_4e_ener_lexa__4472kwp__pcc_prod_appa_ener__u_kvah
[4E Energeiaki 4472 KWp Lexaina] PCC Production current of phase L1 (A),p_4e_ener_lexa__4472kwp__pcc_prod_curr_of_phas_l1__u_a
[4E Energeiaki 4472 KWp Lexaina] PCC Production current of phase L2 (A),p_4e_ener_lexa__4472kwp__pcc_prod_curr_of_phas_l2__u_a
[4E Energeiaki 4472 KWp Lexaina] PCC Production current of phase L3 (A),p_4e_ener_lexa__4472kwp__pcc_prod_curr_of_phas_l3__u_a
[4E Energeiaki 4472 KWp Lexaina] PCC Production frequency (Hz),p_4e_ener_lexa__4472kwp__pcc_prod_freq__u_hz
[4E Energeiaki 4472 KWp Lexaina] PCC Production reactive energy export (kVArh),p_4e_ener_lexa__4472kwp__pcc_prod_reac_ener_expo__u_kvarh
[4E Energeiaki 4472 KWp Lexaina] PCC Production reactive energy import (kVArh),p_4e_ener_lexa__4472kwp__pcc_prod_reac_ener_impo__u_kvarh
[4E Energeiaki 4472 KWp Lexaina] PCC Production total power factor (-),p_4e_ener_lexa__4472kwp__pcc_prod_tota_powe_fact__u_num
[4E Energeiaki 4472 KWp Lexaina] PCC Production voltage of L1-L2 (Vac),p_4e_ener_lexa__4472kwp__pcc_prod_volt_of_l1_l2__u_vac
[4E Energeiaki 4472 KWp Lexaina] PCC Production voltage of L2-L3 (Vac),p_4e_ener_lexa__4472kwp__pcc_prod_volt_of_l2_l3__u_vac
[4E Energeiaki 4472 KWp Lexaina] PCC Production voltage of L3-L1 (Vac),p_4e_ener_lexa__4472kwp__pcc_prod_volt_of_l3_l1__u_vac
[4E Energeiaki 4472 KWp Lexaina] PCC Total Production active power (kW),p_4e_ener_lexa__4472kwp__pcc_tota_prod_acti_powe__u_kw
[4E Energeiaki 4472 KWp Lexaina] PCC Total Production apparent power (kVA),p_4e_ener_lexa__4472kwp__pcc_tota_prod_appa_powe__u_kva
[4E Energeiaki 4472 KWp Lexaina] PCC Total Production reactive power (kVAr),p_4e_ener_lexa__4472kwp__pcc_tota_prod_reac_powe__u_kvar
[4E Energeiaki 4472 KWp Lexaina] Weather Station 1 Ambient Temperature (C),p_4e_ener_lexa__4472kwp__weat_stat_1_ambi_temp__u_c
[4E Energeiaki 4472 KWp Lexaina] Weather Station 1 Relative Humidity  (%),p_4e_ener_lexa__4472kwp__weat_stat_1_rela_humi__u_pct
[4E Energeiaki 4472 KWp Lexaina] Weather Station 1 Wind Speed  (m*s^-1),p_4e_ener_lexa__4472kwp__weat_stat_1_wind_spee__u_m_s_1
[4E Energeiaki 805 KWp Darali] 4E Energeiaki 805 KWp Darali Average Irradiance (W*m^-2),p_4e_ener_dara__805kwp__aver_irra__u_w_m_2
[4E Energeiaki 805 KWp Darali] Main Weather Station Ambient Temperature (C),p_4e_ener_dara__805kwp__main_weat_stat_ambi_temp__u_c
[4E Energeiaki 805 KWp Darali] Main Weather Station Diffuse irradiance (W*m^-2),p_4e_ener_dara__805kwp__main_weat_stat_diff_irra__u_w_m_2
[4E Energeiaki 805 KWp Darali] Main Weather Station Relative Humidity  (%),p_4e_ener_dara__805kwp__main_weat_stat_rela_humi__u_pct
[4E Energeiaki 805 KWp Darali] Main Weather Station Wind Speed  (m*s^-1),p_4e_ener_dara__805kwp__main_weat_stat_wind_spee__u_m_s_1
[4E Energeiaki 805 KWp Darali] PCC PCC Current THD-R of neutral (%),p_4e_ener_dara__805kwp__pcc_curr_thd_r_of_neut__u_pct
[4E Energeiaki 805 KWp Darali] PCC PCC Current THD-R of phase L1 (%),p_4e_ener_dara__805kwp__pcc_curr_thd_r_of_phas_l1__u_pct
[4E Energeiaki 805 KWp Darali] PCC PCC Current THD-R of phase L2 (%),p_4e_ener_dara__805kwp__pcc_curr_thd_r_of_phas_l2__u_pct
[4E Energeiaki 805 KWp Darali] PCC PCC Current THD-R of phase L3 (%),p_4e_ener_dara__805kwp__pcc_curr_thd_r_of_phas_l3__u_pct
[4E Energeiaki 805 KWp Darali] PCC PCC active energy export (kWh),p_4e_ener_dara__805kwp__pcc_acti_ener_expo__u_kwh
[4E Energeiaki 805 KWp Darali] PCC PCC active energy import (kWh),p_4e_ener_dara__805kwp__pcc_acti_ener_impo__u_kwh
[4E Energeiaki 805 KWp Darali] PCC PCC apparent energy (kVAh),p_4e_ener_dara__805kwp__pcc_appa_ener__u_kvah
[4E Energeiaki 805 KWp Darali] PCC PCC average current (A),p_4e_ener_dara__805kwp__pcc_aver_curr__u_a
[4E Energeiaki 805 KWp Darali] PCC PCC average line voltage (Vac),p_4e_ener_dara__805kwp__pcc_aver_line_volt__u_vac
[4E Energeiaki 805 KWp Darali] PCC PCC average phase voltage (Vac),p_4e_ener_dara__805kwp__pcc_aver_phas_volt__u_vac
[4E Energeiaki 805 KWp Darali] PCC PCC current of phase L1 (A),p_4e_ener_dara__805kwp__pcc_curr_of_phas_l1__u_a
[4E Energeiaki 805 KWp Darali] PCC PCC current of phase L2 (A),p_4e_ener_dara__805kwp__pcc_curr_of_phas_l2__u_a
[4E Energeiaki 805 KWp Darali] PCC PCC current of phase L3 (A),p_4e_ener_dara__805kwp__pcc_curr_of_phas_l3__u_a
[4E Energeiaki 805 KWp Darali] PCC PCC current unbalance of phase L1 (%),p_4e_ener_dara__805kwp__pcc_curr_unba_of_phas_l1__u_pct
[4E Energeiaki 805 KWp Darali] PCC PCC current unbalance of phase L2 (%),p_4e_ener_dara__805kwp__pcc_curr_unba_of_phas_l2__u_pct
[4E Energeiaki 805 KWp Darali] PCC PCC current unbalance of phase L3 (%),p_4e_ener_dara__805kwp__pcc_curr_unba_of_phas_l3__u_pct
[4E Energeiaki 805 KWp Darali] PCC PCC frequency (Hz),p_4e_ener_dara__805kwp__pcc_freq__u_hz
[4E Energeiaki 805 KWp Darali] PCC PCC power factor of phase L1 (-),p_4e_ener_dara__805kwp__pcc_powe_fact_of_phas_l1__u_num
[4E Energeiaki 805 KWp Darali] PCC PCC power factor of phase L2 (-),p_4e_ener_dara__805kwp__pcc_powe_fact_of_phas_l2__u_num
[4E Energeiaki 805 KWp Darali] PCC PCC power factor of phase L3 (-),p_4e_ener_dara__805kwp__pcc_powe_fact_of_phas_l3__u_num
[4E Energeiaki 805 KWp Darali] PCC PCC reactive energy export (kVArh),p_4e_ener_dara__805kwp__pcc_reac_ener_expo__u_kvarh
[4E Energeiaki 805 KWp Darali] PCC PCC reactive energy import (kVArh),p_4e_ener_dara__805kwp__pcc_reac_ener_impo__u_kvarh
[4E Energeiaki 805 KWp Darali] PCC PCC total power factor (-),p_4e_ener_dara__805kwp__pcc_tota_powe_fact__u_num
[4E Energeiaki 805 KWp Darali] PCC PCC voltage of L1-L2 (Vac),p_4e_ener_dara__805kwp__pcc_volt_of_l1_l2__u_vac
[4E Energeiaki 805 KWp Darali] PCC PCC voltage of L2-L3 (Vac),p_4e_ener_dara__805kwp__pcc_volt_of_l2_l3__u_vac
[4E Energeiaki 805 KWp Darali] PCC PCC voltage of L3-L1 (Vac),p_4e_ener_dara__805kwp__pcc_volt_of_l3_l1__u_vac
[4E Energeiaki 805 KWp Darali] PCC Production active energy export (kWh),p_4e_ener_dara__805kwp__pcc_prod_acti_ener_expo__u_kwh
[4E Energeiaki 805 KWp Darali] PCC Production active energy import (kWh),p_4e_ener_dara__805kwp__pcc_prod_acti_ener_impo__u_kwh
[4E Energeiaki 805 KWp Darali] PCC Production apparent energy (kVAh),p_4e_ener_dara__805kwp__pcc_prod_appa_ener__u_kvah
[4E Energeiaki 805 KWp Darali] PCC Production current of phase L1 (A),p_4e_ener_dara__805kwp__pcc_prod_curr_of_phas_l1__u_a
[4E Energeiaki 805 KWp Darali] PCC Production current of phase L2 (A),p_4e_ener_dara__805kwp__pcc_prod_curr_of_phas_l2__u_a
[4E Energeiaki 805 KWp Darali] PCC Production current of phase L3 (A),p_4e_ener_dara__805kwp__pcc_prod_curr_of_phas_l3__u_a
[4E Energeiaki 805 KWp Darali] PCC Production frequency (Hz),p_4e_ener_dara__805kwp__pcc_prod_freq__u_hz
[4E Energeiaki 805 KWp Darali] PCC Production reactive energy export (kVArh),p_4e_ener_dara__805kwp__pcc_prod_reac_ener_expo__u_kvarh
[4E Energeiaki 805 KWp Darali] PCC Production reactive energy import (kVArh),p_4e_ener_dara__805kwp__pcc_prod_reac_ener_impo__u_kvarh
[4E Energeiaki 805 KWp Darali] PCC Production total power factor (-),p_4e_ener_dara__805kwp__pcc_prod_tota_powe_fact__u_num
[4E Energeiaki 805 KWp Darali] PCC Production voltage of L1-L2 (Vac),p_4e_ener_dara__805kwp__pcc_prod_volt_of_l1_l2__u_vac
